source_sheet,source_row,target_year,jenis,nama_paket_source,sub_source,effective_pagu,package_action,road_match_status,notes,top_candidates
REKONSILIASI_APBDP_2026,13,2027,PLANNING,"Survey Kondisi Jalan Wilayah   Kec. Daha Selatan, Daha Utara dan Daha Barat",0043 – Survey Kondisi   Jalan/Jembatan,100000000,REVIEW,SKIPPED_NON_ROAD,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket bersifat studi/dokumen umum dan tidak memiliki identitas ruas yang aman.,[]
REKONSILIASI_APBDP_2026,18,2027,PLANNING,"Survey Kondisi Jembatan Wilayah   Kec. Daha Selatan, Daha Utara dan Daha Barat",0043 – Survey Kondisi   Jalan/Jembatan,100000000,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,19,2026,PHYSICAL,Pemeliharaan Rutin Jalan,0051 – Pemeliharaan Rutin Jalan,4016481818,REVIEW,SKIPPED_NON_ROAD,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Pemeliharaan rutin jalan tidak menyebut ruas tertentu.,[]
REKONSILIASI_APBDP_2026,21,2026,PHYSICAL,Pembangunan Ruas Jalan Bajayau   Tengah – Buas-Buas (Sawaja) Kec. Daha Barat (Lanjutan),0053 – Pembangunan Jalan,6112540000,REVIEW,FUZZY_AUTO,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Token overlap dan normalized edit similarity.,"[{""ref"": ""ruas_336"", ""name"": ""Bajayau - Bajayau Tengah"", ""score"": 0.86, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_135"", ""name"": ""Jl. Baru - Ds. Bajayau"", ""score"": 0.3407, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_251"", ""name"": ""Samuda - Bajayau"", ""score"": 0.3407, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_315"", ""name"": ""Taniran Tengah - Taniran Selatan"", ""score"": 0.2824, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_337"", ""name"": ""Jl. Badaun - Ds. Bajayau Lama"", ""score"": 0.2737, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,24,2026,PHYSICAL,Peningkatan Struktur Ruas Jalan   Sakincung – Ds. Hakurung Dalam,0056 – Pemeliharaan Berkala   Jalan,227548000,REVIEW,UNMATCHED,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Tidak ada kandidat jalan dengan skor minimal 0.70.,"[{""ref"": ""ruas_297"", ""name"": ""Jl. Sakincung Ds. Hakurun Dalam"", ""score"": 0.6603, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_141"", ""name"": ""Jl. Hamayung - Ds. Hakurung Dalam"", ""score"": 0.6449, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_131"", ""name"": ""Hakurung Dalam - Ds. Sungai haji"", ""score"": 0.4414, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_250"", ""name"": ""Jl. Balimau - Murung Dalam"", ""score"": 0.3574, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_069"", ""name"": ""Jl. Muning Tengah - Muning Dalam"", ""score"": 0.3267, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,25,2026,PHYSICAL,Pengamanan Badan Jalan Taniran   Selatan Kubah – Buntut/Wawaran (Lanjutan),0056 – Pemeliharaan Berkala   Jalan,922024200,REVIEW,EXACT,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Token overlap dan normalized edit similarity.,"[{""ref"": ""ruas_213"", ""name"": ""Taniran Selatan Kubah - Buntut Taniran/Wawaran"", ""score"": 0.9652, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_248"", ""name"": ""Taniran Selatan - Rantauan"", ""score"": 0.5544, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_315"", ""name"": ""Taniran Tengah - Taniran Selatan"", ""score"": 0.5333, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_106"", ""name"": ""Angkinang Selatan - Tawia - Wawaran"", ""score"": 0.4462, ""method"": ""fuzzy_token_edit""}, {""ref"": ""ruas_107"", ""name"": ""Bamban Selatan - Pakuan"", ""score"": 0.299, ""method"": ""fuzzy_token_edit""}]"
REKONSILIASI_APBDP_2026,33,2026,PHYSICAL,Penggantian Jembatan Sei. Binglu   Ds. Balimau Kec. Kalumpang,0057 – Penggantian Jembatan,1759005000,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,34,2026,PHYSICAL,Penggantian Jembatan Mawangi –   Bukuanin – Telaga Langsat,0057 – Penggantian Jembatan,1563334100,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,35,2026,PHYSICAL,Penggantian Jembatan Batu Laki –   Muara Pipi'i,0057 – Penggantian Jembatan,2709032850,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
REKONSILIASI_APBDP_2026,36,2026,PHYSICAL,Penggantian Jembatan Ds. Siang   Gantung Kec. Daha Barat,0057 – Penggantian Jembatan,2124597900,REVIEW,SKIPPED_NON_ROAD,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",[]
