source_sheet,source_row,target_year,jenis,nama_paket_source,sub_source,effective_pagu,existing_id,target_anggaran_id,package_action,road_match_status,matched_spasial_ref,matched_spasial_nama,match_score,match_method,second_best_score,notes,database_status
REKONSILIASI_APBDP_2026,9,2027,PLANNING,Survey Kondisi Jalan Wilayah   Kec. Loksado dan Kec. Padang Batung,0043 – Survey Kondisi   Jalan/Jembatan,100000000,5f69b61b-214a-4c95-9406-596855498c4b,54099cdb-8ede-48aa-96ae-fa6357443d68,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket bersifat studi/dokumen umum dan tidak memiliki identitas ruas yang aman.",AVAILABLE
REKONSILIASI_APBDP_2026,10,2027,PLANNING,Survey Kondisi Jalan Wilayah   Kec. Telaga Langsat dan Kec. Angkinang,0043 – Survey Kondisi   Jalan/Jembatan,100000000,bf72b418-0b76-45aa-b153-409cce265460,6d8d6f3f-d8cd-459a-9178-866f6b28c77a,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket bersifat studi/dokumen umum dan tidak memiliki identitas ruas yang aman.",AVAILABLE
REKONSILIASI_APBDP_2026,11,2027,PLANNING,Survey Kondisi Jalan Wilayah   Kec. Kalumpang dan Kec. Simpur,0043 – Survey Kondisi   Jalan/Jembatan,100000000,d56a8079-6422-4548-b57b-2d67e723f8a8,58c394f9-fea0-4592-a4f7-626a156ba372,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket bersifat studi/dokumen umum dan tidak memiliki identitas ruas yang aman.",AVAILABLE
REKONSILIASI_APBDP_2026,12,2027,PLANNING,Survey Kondisi Jalan Wilayah   Kec. Kandangan dan Kec. Sungai Raya,0043 – Survey Kondisi   Jalan/Jembatan,100000000,752d74bd-9d35-4664-b869-62b7c5599461,accf9ae1-a4a3-4d44-af8d-37f7a411d992,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket bersifat studi/dokumen umum dan tidak memiliki identitas ruas yang aman.",AVAILABLE
REKONSILIASI_APBDP_2026,13,2027,PLANNING,"Survey Kondisi Jalan Wilayah   Kec. Daha Selatan, Daha Utara dan Daha Barat",0043 – Survey Kondisi   Jalan/Jembatan,100000000,1cf68d98-523a-4f89-aada-968124e45e86,,REVIEW,SKIPPED_NON_ROAD,,,,,,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket bersifat studi/dokumen umum dan tidak memiliki identitas ruas yang aman.,AVAILABLE
REKONSILIASI_APBDP_2026,14,2027,PLANNING,Survey Kondisi Jembatan Wilayah   Kec. Loksado dan Kec. Padang Batung,0043 – Survey Kondisi   Jalan/Jembatan,100000000,0b3173da-9610-4545-a725-ebba7df6f8cc,0a8f31c8-bec9-4dc9-84dd-e254fb4855ac,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",AVAILABLE
REKONSILIASI_APBDP_2026,15,2027,PLANNING,Survey Kondisi Jembatan Wilayah   Kec. Telaga Langsat dan Kec. Angkinang,0043 – Survey Kondisi   Jalan/Jembatan,100000000,ae9d33e3-e6f7-410c-92f0-82d1425671ca,8351748a-a7c4-47f5-9012-54b1698766e3,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",AVAILABLE
REKONSILIASI_APBDP_2026,16,2027,PLANNING,Survey Kondisi Jembatan Wilayah   Kec. Kalumpang dan Kec. Simpur,0043 – Survey Kondisi   Jalan/Jembatan,100000000,9763f087-6a64-4251-b05e-9a688e194b11,91fdfa90-02a7-4d82-8ff8-98b055da4129,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",AVAILABLE
REKONSILIASI_APBDP_2026,17,2027,PLANNING,Survey Kondisi Jembatan Wilayah   Kec. Kandangan dan Kec. Sungai Raya,0043 – Survey Kondisi   Jalan/Jembatan,100000000,0b5c6777-50c7-439a-8a61-09470a86a0fb,84356f59-46fb-497b-bfff-8af6c6b80872,EXISTING,SKIPPED_NON_ROAD,,,,,,"Existing ID workbook tidak ditemukan, tetapi satu paket existing cocok berdasarkan tahun, nama, sub kegiatan, dan pagu.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",AVAILABLE
REKONSILIASI_APBDP_2026,18,2027,PLANNING,"Survey Kondisi Jembatan Wilayah   Kec. Daha Selatan, Daha Utara dan Daha Barat",0043 – Survey Kondisi   Jalan/Jembatan,100000000,8a00dcd5-80f3-465c-b977-0f45db474e4c,,REVIEW,SKIPPED_NON_ROAD,,,,,,"Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Paket jembatan diarahkan ke layer jembatan, bukan polyline jalan.",AVAILABLE
REKONSILIASI_APBDP_2026,19,2026,PHYSICAL,Pemeliharaan Rutin Jalan,0051 – Pemeliharaan Rutin Jalan,4016481818,e95bc983-c93c-432f-8eec-fbe5a6373124,,REVIEW,SKIPPED_NON_ROAD,,,,,,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Pemeliharaan rutin jalan tidak menyebut ruas tertentu.,AVAILABLE
REKONSILIASI_APBDP_2026,20,2026,PHYSICAL,Pemeliharaan Rutin Jalan,0051 – Pemeliharaan Rutin Jalan,3513433971,,eba70d9d-9bd4-435b-bd3a-f2a70053ce48,EXISTING,SKIPPED_NON_ROAD,,,,,,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Pemeliharaan rutin jalan tidak menyebut ruas tertentu.",AVAILABLE
REKONSILIASI_APBDP_2026,21,2026,PHYSICAL,Pembangunan Ruas Jalan Bajayau   Tengah – Buas-Buas (Sawaja) Kec. Daha Barat (Lanjutan),0053 – Pembangunan Jalan,6112540000,d79e6a41-a1aa-4e63-9a93-71b1cc6620fc,,REVIEW,FUZZY_AUTO,ruas_336,Bajayau - Bajayau Tengah,0.86,fuzzy_token_edit,0.3407,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Token overlap dan normalized edit similarity.,AVAILABLE
REKONSILIASI_APBDP_2026,24,2026,PHYSICAL,Peningkatan Struktur Ruas Jalan   Sakincung – Ds. Hakurung Dalam,0056 – Pemeliharaan Berkala   Jalan,227548000,8d6d620e-2a1c-4a38-bb34-9f882b784297,,REVIEW,UNMATCHED,,,,,0.6449,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Tidak ada kandidat jalan dengan skor minimal 0.70.,AVAILABLE
REKONSILIASI_APBDP_2026,25,2026,PHYSICAL,Pengamanan Badan Jalan Taniran   Selatan Kubah – Buntut/Wawaran (Lanjutan),0056 – Pemeliharaan Berkala   Jalan,922024200,bc22a0b0-9eda-4f0a-bb7a-e1c8d31db162,,REVIEW,EXACT,ruas_213,Taniran Selatan Kubah - Buntut Taniran/Wawaran,0.9652,fuzzy_token_edit,0.5544,Existing ID dari workbook tidak ditemukan dan tidak ada satu kandidat pengganti yang aman.; Token overlap dan normalized edit similarity.,AVAILABLE
REKONSILIASI_APBDP_2026,27,2027,PLANNING,Perencanaan Pengamanan Badan   Jalan Angkinang – Telaga Langsat,0056 – Pemeliharaan Berkala   Jalan,35000000,,638831ef-268b-4535-b6a0-30b7d5235cb4,EXISTING,EXACT,ruas_130,Angkinang - Telaga Langsat,1,exact_normalized,0.6218,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.",AVAILABLE
REKONSILIASI_APBDP_2026,28,2026,PHYSICAL,Siring Pasangan Batu Mandapai –   Madang,0056 – Pemeliharaan Berkala   Jalan,196913000,,a9931b7d-157a-4bc8-b715-18de492b6341,EXISTING,EXACT,ruas_158,Mandapai - Madang,1,exact_normalized,0.5029,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.",AVAILABLE
REKONSILIASI_APBDP_2026,29,2026,PHYSICAL,Siring Pasangan Batu Halaban   Kec. Simpur,0056 – Pemeliharaan Berkala   Jalan,196913000,,2440ca25-0ecf-4a72-800a-7c2393112181,EXISTING,EXACT,ruas_051,Jl. Halaban,1,exact_normalized,0.0889,"Kandidat existing cocok pada tahun, nama, sub kegiatan, dan pagu efektif.; Nama paket/lokasi dan nama ruas sama setelah normalisasi.",AVAILABLE
